,Size & Book Value(2X3) Big - High,Size & Book Value(2X3) Big - Low,Size & Book Value(2X3) Big - Medium,Size & Book Value(2X3) Small - High,Size & Book Value(2X3) Small - Low,Size & Book Value(2X3) Small - Medium,SMB,HML
2000-10-24 00:00:00,2.49,2.07,3.85,0.92,0.78,1.11,1.8666666666666663,0.28000000000000025
2000-10-25 00:00:00,0.06,0.38,-0.98,-0.87,0.27,-0.16,0.07333333333333333,-0.73
2000-10-26 00:00:00,-1.05,-3.99,-3.19,-0.94,0.67,-2.58,-1.7933333333333334,0.6650000000000001
2000-10-27 00:00:00,-1.03,-2.51,-1.12,-1.3,-2.28,-2.08,0.33333333333333326,1.2299999999999995
2000-10-30 00:00:00,-1.01,-4.5,-1.05,-3.62,-5.77,-5.32,2.716666666666667,2.82
2000-10-31 00:00:00,0.71,3.42,1.52,-2.31,-1.66,-1.17,3.5966666666666667,-1.6800000000000002
2000-11-01 00:00:00,4.93,5.33,7,2.52,3.56,2.24,2.9799999999999995,-0.7200000000000006
2000-11-02 00:00:00,1.57,1.24,1.98,0.85,0.17,1.77,0.6666666666666666,0.505
2000-11-03 00:00:00,-0.26,0.26,0.62,1.72,2.14,1.04,-1.4266666666666667,-0.4700000000000002
2000-11-06 00:00:00,0.1,-0.86,-0.58,1.2,2.09,1.29,-1.9733333333333332,0.03500000000000003
2000-11-07 00:00:00,-0.4,-0.38,-0.64,0.23,-0.41,-0.07,-0.39,0.31
2000-11-08 00:00:00,1.3,2.14,-0.05,1.29,-1.81,-0.6,1.5033333333333334,1.13
2000-11-09 00:00:00,0.69,-0.07,0.75,0.94,2.53,1.81,-1.3033333333333332,-0.41500000000000004
2000-11-10 00:00:00,0.32,1.25,0.75,0.28,-0.42,0.09,0.79,-0.11499999999999999
2000-11-13 00:00:00,-3.02,-4.78,-4.64,-2.72,-3.31,-1.86,-1.516666666666667,1.1749999999999998
2000-11-14 00:00:00,3.01,2.02,2.73,1.98,3.13,2.89,-0.08000000000000007,-0.08000000000000007
2000-11-15 00:00:00,0.39,0.32,1.34,-0.12,1.35,0.65,0.05666666666666664,-0.7000000000000001
2000-11-16 00:00:00,-0.87,0.21,-0.7,-0.12,0.55,0.62,-0.8033333333333333,-0.875
2000-11-17 00:00:00,-0.84,-0.58,-0.67,-0.41,0.63,0.19,-0.8333333333333334,-0.65
2000-11-20 00:00:00,-1.31,-2.06,-2.72,-0.95,-0.99,-0.44,-1.2366666666666664,0.395
2000-11-21 00:00:00,-2.05,-1.62,-0.8,-0.7,-0.03,-1.46,-0.76,-0.5499999999999999
2000-11-22 00:00:00,-0.05,-1.83,-2.16,0.44,-0.33,-0.38,-1.2566666666666666,1.2750000000000001
2000-11-23 00:00:00,-2.32,-2.55,-1.47,-3.48,-6.11,-4.1,2.4500000000000006,1.4300000000000002
2000-11-24 00:00:00,1.67,2.16,3.89,0.12,0.26,1.33,2.003333333333334,-0.31499999999999995
2000-11-27 00:00:00,1.97,3.37,5.14,2.98,3.92,2.52,0.3533333333333335,-1.17
